study_id,site_id,core_id,depth_min,depth_max,cs137_activity,cs137_units,cs137_peak,cs137_notes
Elsey-Quirk_et_al_2011,Little_Assawoman,Juncus_roemerianus_core,0,2,0,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2012,Little_Assawoman,Juncus_roemerianus_core,4,6,2,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2013,Little_Assawoman,Juncus_roemerianus_core,8,10,34,becquerelsPerKilogram,TRUE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2014,Little_Assawoman,Juncus_roemerianus_core,12,14,10,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2015,Little_Assawoman,Juncus_roemerianus_core,16,18,8,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2016,Little_Assawoman,Juncus_roemerianus_core,20,22,6,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2017,Little_Assawoman,Juncus_roemerianus_core,24,26,1,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2018,Little_Assawoman,Juncus_roemerianus_core,28,30,0,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2019,Little_Assawoman,Juncus_roemerianus_core,32,34,0,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2020,Little_Assawoman,Juncus_roemerianus_core,36,38,0,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2021,Little_Assawoman,Juncus_roemerianus_core,40,42,0,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2022,Little_Assawoman,Juncus_roemerianus_core,44,46,0,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2011,Little_Assawoman,Spartina_alterniflora_core,0,2,4,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2012,Little_Assawoman,Spartina_alterniflora_core,4,6,4,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2013,Little_Assawoman,Spartina_alterniflora_core,8,10,1,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2014,Little_Assawoman,Spartina_alterniflora_core,12,14,27,becquerelsPerKilogram,TRUE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2015,Little_Assawoman,Spartina_alterniflora_core,16,18,12,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2016,Little_Assawoman,Spartina_alterniflora_core,20,22,11,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2017,Little_Assawoman,Spartina_alterniflora_core,24,26,5,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2018,Little_Assawoman,Spartina_alterniflora_core,28,30,0,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2019,Little_Assawoman,Spartina_alterniflora_core,32,34,0,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2020,Little_Assawoman,Spartina_alterniflora_core,36,38,4,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2021,Little_Assawoman,Spartina_alterniflora_core,40,42,4,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
Elsey-Quirk_et_al_2022,Little_Assawoman,Spartina_alterniflora_core,44,46,6,becquerelsPerKilogram,FALSE,Digitized from figure 4 using https://apps.automeris.io/wpd/ by J. Holmquist 2019-10-31.
