study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,Keshta_et_al_2020_a,0,5,0.1547339724504538,0.2109893727936204,0.09253547685244479
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,Keshta_et_al_2020_a,5,10,0.20778562014775226,0.19447649673697068,0.08581803887259967
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,Keshta_et_al_2020_a,10,15,0.15473397245045376,0.2007035094140129,0.08835118762962045
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,Keshta_et_al_2020_a,15,20,0.36694056323964763,0.20979959133970408,0.09205147375699163
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,Keshta_et_al_2020_a,20,25,0.3382042540702776,0.1734771018183264,0.07727548501969517
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,Keshta_et_al_2020_a,25,30,0.3846244458054138,0.1754775990052369,0.07808928727533038
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,Keshta_et_al_2020_a,30,35,0.42220269625766677,0.16801774392996666,0.07505461823071044
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,Keshta_et_al_2020_a,35,40,0.4244131815783875,0.15461868580272986,0.0696038813845505
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,Keshta_et_al_2020_a,40,45,0.47525434395496524,0.14241974566560886,0.06464135253676968
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,Keshta_et_al_2020_a,45,50,0.3978873577297384,0.14746071509906652,0.06669201890230025
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,Keshta_et_al_2020_a,0,5,0.1259976632810838,0.179850989333117,0.079868382460712
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,Keshta_et_al_2020_a,5,10,0.17683882565766149,0.21657526381437045,0.0948078173196859
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,Keshta_et_al_2020_a,10,15,0.3315727981081153,0.17248408998244996,0.07687152780486065
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,Keshta_et_al_2020_a,15,20,0.34925668067388144,0.16734890440645322,0.07478253431254517
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,Keshta_et_al_2020_a,20,25,0.3691510485603684,0.19661458333333356,0.08668781250000009
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,Keshta_et_al_2020_a,25,30,0.439886578823433,0.1788803655949084,0.07947353272400874
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,Keshta_et_al_2020_a,30,35,0.41778172561622534,0.1697526867797494,0.07576039298200204
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,Keshta_et_al_2020_a,35,40,0.36251959259820604,0.17718719544193706,0.07878475110578
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,Keshta_et_al_2020_a,40,45,0.4863067705585692,0.1373685579459746,0.06258652937242246
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,Keshta_et_al_2020_a,45,50,0.40893978433334227,0.13229601518026485,0.06052301897533174
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P3,Keshta_et_al_2020_a,0,5,0.31388891554234916,0.18024409897604296,0.08002829946345429
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P3,Keshta_et_al_2020_a,5,10,0.3868349311261345,0.19336069820268562,0.08536413202885251
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P3,Keshta_et_al_2020_a,10,15,0.40230832837117997,0.2051760990545149,0.09017063709537666
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P3,Keshta_et_al_2020_a,15,20,0.4553599760684784,0.1870776299416093,0.08280817986024668
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P3,Keshta_et_al_2020_a,20,25,0.39346638708829673,0.17748417181635573,0.07890556109489351
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P3,Keshta_et_al_2020_a,25,30,0.5039906531243352,0.15496954333925975,0.06974661023041087
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P3,Keshta_et_al_2020_a,30,35,0.45093900542703674,0.16892389077819592,0.07542323876857009
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P3,Keshta_et_al_2020_a,35,40,0.4420970641441538,0.18911927330173828,0.08363872037914714
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P3,Keshta_et_al_2020_a,40,45,0.43104463754054995,0.1763919499945799,0.0784612452577951
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P3,Keshta_et_al_2020_a,45,50,0.3382042540702776,0.19623253493014023,0.08653239520958105
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P1,Keshta_et_al_2020_a,0,5,0.2321009586756807,0.1914511288256773,0.08458731920628554
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P1,Keshta_et_al_2020_a,5,10,0.2630477531657715,0.2281389458448923,0.0995119231697022
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P1,Keshta_et_al_2020_a,10,15,0.20336464950631075,0.2462207877104103,0.10686761644059492
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P1,Keshta_et_al_2020_a,15,20,0.30504697425946603,0.23610135082376804,0.10275102951510885
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P1,Keshta_et_al_2020_a,20,25,0.2652582384864922,0.30203417077141975,0.12957250066981355
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P1,Keshta_et_al_2020_a,25,30,0.23873241463784295,0.3211249438114416,0.13733862714249445
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P1,Keshta_et_al_2020_a,30,35,0.4332551228612706,0.21632378598429805,0.09470551613841245
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P1,Keshta_et_al_2020_a,35,40,0.4973591971621729,0.21507321109037408,0.0941967822715642
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P1,Keshta_et_al_2020_a,40,45,0.4244131815783875,0.2228696822733232,0.09736838674878788
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P1,Keshta_et_al_2020_a,45,50,0.3802034751639721,0.24182493217192602,0.10507938240753951
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P2,Keshta_et_al_2020_a,0,5,0.13926057520540844,0.19618076875844317,0.08651133673093468
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P2,Keshta_et_al_2020_a,5,10,0.26967920912793375,0.20249119069081345,0.08907841637302293
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P2,Keshta_et_al_2020_a,10,15,0.2829421210522584,0.2016041407376673,0.08871756445208306
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P2,Keshta_et_al_2020_a,15,20,0.04420970641441537,NA,NA
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P2,Keshta_et_al_2020_a,20,25,0.14147106052612915,0.2063205236316919,0.09063618901337227
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P2,Keshta_et_al_2020_a,25,30,0.391255901767576,0.18225224868248982,0.08084521476403687
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P2,Keshta_et_al_2020_a,30,35,0.6012520072360491,0.1515201224846904,0.06834338582677205
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P2,Keshta_et_al_2020_a,35,40,0.63883025768830215,0.1504048904414093,0.0678897094315653
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P2,Keshta_et_al_2020_a,40,45,0.4796753145964068,0.22365291238278623,0.09768700475731745
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P2,Keshta_et_al_2020_a,45,50,0.5017801678036146,0.22795171263126968,0.0994357566984005
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P3,Keshta_et_al_2020_a,0,5,0.25420581188288843,0.2272000631549856,0.09912998569144815
