study_id,location_description,allometric_eq_id,allometric_eq_formula,genus,species,output_unit,parameter_names,R2,RSE,diameter_max,diameter_min
Bukoski_et_al_2020,Malaysia,5,0.00698*DBH^2.61,Rhizophora,apiculata,kg,DBH - diameter at breast height (cm),0.99,NA,77,15
Bukoski_et_al_2020,Malaysia,38,0.235*DBH^2.42,Excoecaria,agallocha,kg,DBH - diameter at breast height (cm),0.98,NA,28,NA
Bukoski_et_al_2020,Indonesia,20,0.1832*DBH^2.21,Excoecaria,agallocha,kg,DBH - diameter at breast height (cm),NA,NA,NA,NA
Bukoski_et_al_2020,"Southeast Sulawesi, Indonesia",36,1.184 * DBH^2.384,Bruguiera,cylindrica,kg,DBH - diameter at breast height (cm),0.98,NA,NA,NA
Bukoski_et_al_2020,Indonesia,20,0.1832*DBH^2.21,Bruguiera,cylindrica,kg,DBH - diameter at breast height (cm),NA,NA,NA,NA
Bukoski_et_al_2020,Indonesia,20,0.1832*DBH^2.21,Xylocarpus,moluccensis,kg,DBH - diameter at breast height (cm),NA,NA,NA,NA
Bukoski_et_al_2020,Northern Australia,34,10^(-0.7749 + 2.4167 * Log10(DBH)),Avicennia,alba,kg,"DBH - diameter at breast height (cm), Log10 - logarithm to the base 10",0.993,1.17,21,2
Bukoski_et_al_2020,Bangladesh,35,Exp(1)^(-1.9737 + 1.0996 * Log(DBH^2)),Avicennia,alba,kg,"DBH - diameter at breast height (cm), Exp - exponential function, Log - natural logarithm",0.9953,NA,NA,NA
Bukoski_et_al_2020,Indonesia,20,0.1832*DBH^2.21,Xylocarpus,granatum,kg,DBH - diameter at breast height (cm),NA,NA,NA,NA
Bukoski_et_al_2020,Southern Thailand,37,DBH * 2.8929,Bruguiera,parviflora,kg,DBH represents the number of NYFR fronds. 2.8929 is a mean dry-weight mass per frond,NA,NA,NA,NA
Bukoski_et_al_2020,Indonesia,20,0.1832*DBH^2.21,Bruguiera,parviflora,kg,DBH - diameter at breast height (cm),NA,NA,NA,NA
Bukoski_et_al_2020,Northern Australia,34,10^(-0.7749 + 2.4167 * Log10(DBH)),Avicennia,marina,kg,"DBH - diameter at breast height (cm), Log10 - logarithm to the base 10",0.993,1.17,21,2
Bukoski_et_al_2020,Bangladesh,35,Exp(1)^(-1.9737 + 1.0996 * Log(DBH^2)),Avicennia,marina,kg,"DBH - diameter at breast height (cm), Exp - exponential function, Log - natural logarithm",0.9953,NA,NA,NA
Bukoski_et_al_2020,Non specific,11,0.1*(Sg*(Pi*(DBH*0.5)^2*HGT)),Xylocarpus,moluccensis,kg,"Sg - specific gravity wood (g/cm3), Pi  - mathematical constant (3.14159265359), DBH - diameter at breast height (cm), HGT - height (m)",NA,NA,NA,NA
Bukoski_et_al_2020,Malaysia,5,0.00698*DBH^2.61,Rhizophora,mucronata,kg,DBH - diameter at breast height (cm),0.99,NA,77,15
Bukoski_et_al_2020,Non specific,11,0.1*(Sg*(Pi*(DBH*0.5)^2*HGT)),Avicennia,alba,kg,"Sg - specific gravity wood (g/cm3), Pi  - mathematical constant (3.14159265359), DBH - diameter at breast height (cm), HGT - height (m)",NA,NA,NA,NA
Bukoski_et_al_2020,"Southeast Sulawesi, Indonesia",36,1.184 * DBH^2.384,Bruguiera,gymnorrhiza,kg,DBH - diameter at breast height (cm),0.98,NA,NA,NA
Bukoski_et_al_2020,Indonesia,20,0.1832*DBH^2.21,Bruguiera,gymnorrhiza,kg,DBH - diameter at breast height (cm),NA,NA,NA,NA
Bukoski_et_al_2020,Non specific,11,0.1*(Sg*(Pi*(DBH*0.5)^2*HGT)),Xylocarpus,granatum,kg,"Sg - specific gravity wood (g/cm3), Pi  - mathematical constant (3.14159265359), DBH - diameter at breast height (cm), HGT - height (m)",NA,NA,NA,NA
Bukoski_et_al_2020,Non specific,11,0.1*(Sg*(Pi*(DBH*0.5)^2*HGT)),Rhizophora,apiculata,kg,"Sg - specific gravity wood (g/cm3), Pi  - mathematical constant (3.14159265359), DBH - diameter at breast height (cm), HGT - height (m)",NA,NA,NA,NA
Bukoski_et_al_2020,Non specific,11,0.1*(Sg*(Pi*(DBH*0.5)^2*HGT)),Excoecaria,agallocha,kg,"Sg - specific gravity wood (g/cm3), Pi  - mathematical constant (3.14159265359), DBH - diameter at breast height (cm), HGT - height (m)",NA,NA,NA,NA
Bukoski_et_al_2020,Indonesia,23,0.1848*DBH^2.3524,Scyphiphora,hydrophyllacea,kg,DBH - diameter at breast height (cm),NA,NA,NA,NA
Bukoski_et_al_2020,Indonesia,20,0.1832*DBH^2.21,Scyphiphora,hydrophyllacea,kg,DBH - diameter at breast height (cm),NA,NA,NA,NA
Bukoski_et_al_2020,Northern Australia,34,10^(-0.7749 + 2.4167 * Log10(DBH)),Avicennia,officinalis,kg,"DBH - diameter at breast height (cm), Log10 - logarithm to the base 10",0.993,1.17,21,2
Bukoski_et_al_2020,Bangladesh,35,Exp(1)^(-1.9737 + 1.0996 * Log(DBH^2)),Avicennia,officinalis,kg,"DBH - diameter at breast height (cm), Exp - exponential function, Log - natural logarithm",0.9953,NA,NA,NA
Bukoski_et_al_2020,Southern Thailand,37,DBH * 2.8929,Bruguiera,sexangula,kg,DBH represents the number of NYFR fronds. 2.8929 is a mean dry-weight mass per frond,NA,NA,NA,NA
Bukoski_et_al_2020,Indonesia,20,0.1832*DBH^2.21,Bruguiera,sexangula,kg,DBH - diameter at breast height (cm),NA,NA,NA,NA
