attribute_name,table,definition,data_type,format_unit_codes,data_category,parent_data_category,quality_class,uncontrolled
study_id,methods,"Unique identifier for the study made up of the first author’s family name, as well as the second author’s family name or ‘et al.’ if more than three, then publication year separated by underscores.",character,,,,,
site_id,methods,Site identification code unique to each study.,character,,,,,
core_id,methods,Core identification code unique to each site.,factor,NA,,,,
coring_method,methods,Code indicating what type of device was used to collect soil depth profiles.,factor,"gouge auger = A half cylinder coring device in which the coring section is open, not sealed off by a fin. hargas corer = A large diameter (>10 cm) coring device consisting of a tube, piston, and a cutting head. mcauley corer = A half cylinder coring device with the coring section sealed off by a fin attached to a rotating pivot point. mccaffrey peat cutter = U-shaped blade that extracts a core by cutting down through peat. none specified = No coring device was specified. other shallow corer = Any other type of coring device typically taking cores shallower than 30 centimeters. piston corer = A device that extrudes core into tube upward with a plunger. push core = Any number of coring types involving driving a tube into the sediment to recover a core. pvc and hammer = PVC pipe was driven into the sediment with a hammer to recover a core. russian corer = A half cylinder coring device with the coring section sealed off by a fin attached to a rotating pivot point. vibracore = A technique involving collecting a core by sinking a continuous pipe into sediment attaching a source of vibration, then recovering using a winch and pulley. surface sample = A technique involving collecting a core shallower than ~5 cm using a circular metal cutter.",,,,
roots_flag,methods,Code indicating whether live roots were included or excluded from carbon assessments.,factor,roots and rhizomes included = Roots and rhizomes were included in dry bulk density and or organic matter and carbon measurements. roots and rhizomes separated = Roots and rhizomes were separated from soil before dry bulk density and or organic matter and carbon measurements.,,carbon_stock,,
sediment_sieved_flag,methods,Code indicating whether or not sediment was sieved prior to carbon measurements.,factor,sediment sieved = Sediment was sieved prior to analysis for organics. sediment not sieved = Sediment was not sieved prior to analysis for organics.,,,,
sediment_sieve_size,methods,"If sediment was sieved, the size of sieve used.",numeric,millimeters,,,,
compaction_flag,methods,Code indicating how the authors qualified or quantified compaction of the core.,factor,compaction qualified = Compaction was at least qualified and noted by the authors. compaction quantified = Compaction was quantified and corrected for in core based measurements. corer limits compaction = Authors specified that the coring device’s design minimized compaction. no obvious compaction = Authors observed no obvious compaction. not specified = Compaction was not specified.,,,,
dry_bulk_density_temperature,methods,Temperature at which samples were dried to measure dry bulk density. This can include either samples that were freeze dried or oven dried.,numeric,celsius,dry_bulk_density,carbon_stock,,
dry_bulk_density_time,methods,Time over which samples were dried to measure dry bulk density.,numeric,hour,dry_bulk_density,carbon_stock,,
dry_bulk_density_sample_volume,methods,"Sample volume used for bulk density measurements, if held constant.",numeric,cubicCentimeters,dry_bulk_density,carbon_stock,,
dry_bulk_density_sample_mass,methods,"Sample mass used for bulk density measurements, if held constant.",numeric,grams,dry_bulk_density,carbon_stock,,
dry_bulk_density_flag,methods,Any notable codes regarding how the authors quantified dry bulk density.,factor,"air dried to constant mass = Methodology specified that samples were air dried to a constant mass. modeled = Bulk density was not measured, but was modeled from loss on ignition and assumptions about the particle densities of organic and inorganic matter. freeze dried = Bulk density was measured on freeze dried samples. not specified = No additional details regarding bulk density methodology were provided. removed non structural water = Bulk density methodology did not specify drying temperature or length, only that non-strucural water was removed. time approximate = Bulk density time recorded herin is an approximate estimate. to constant mass = Bulk density methodology did not specify drying temperature or length, only that samples were dried to a constant mass.",dry_bulk_density,carbon_stock,,
loss_on_ignition_temperature,methods,Temperature at which samples were combusted to estimate fraction organic matter.,numeric,celsius,loss_on_ignition,carbon_stock,,
loss_on_ignition_time,methods,Time over which samples were combusted to estimate fraction organic matter.,numeric,hour,loss_on_ignition,carbon_stock,,
loss_on_ignition_sample_volume,methods,"Sample volume used for loss on ignition, if held constant.",numeric,cubicCentimeters,loss_on_ignition,carbon_stock,,
loss_on_ignition_sample_mass,methods,"Sample mass used for loss on ignition, if held constant.",numeric,grams,loss_on_ignition,carbon_stock,,
loss_on_ignition_flag,methods,Common codes regarding loss on ignition methodology.,factor,time approximate = Loss on ignition time recorded herein is an approximate estimate. not specified = No additional details regarding loss on ignition methodology or time were provided.,loss_on_ignition,carbon_stock,,
carbon_measured_or_modeled,methods,Code indicating whether fraction carbon was measured or estimated as a function of organic matter.,factor,measured = Fraction carbon was measured as opposed to modeled. modeled = Fraction carbon was modeled as opposed to measured.,fraction_carbon,carbon_stock,,
carbonates_removed,methods,Whether or not carbonates were removed prior to calculating fraction organic carbon.,factor,FALSE = Carbonates were not removed before measuring organic carbon. TRUE = Carbonates were removed before measuring organic carbon.,fraction_carbon,carbon_stock,,
carbonate_removal_method,methods,The method used to remove carbonates prior to measuring fraction carbon.,factor,direct acid treatment = Carbonates were removed using direct application of dilute acid. acid fumigation = Carbonates were removed by fumigating with concentrated acid. low carbonate soil = Organic carbon fraction was measured without removing carbonates assuming carbonate content of the soil type was minimal. carbonates not removed = Carbonates were not removed and low carbonate soil was not specified. none specified = Carbonate removal methodology was not specified.,fraction_carbon,carbon_stock,,
fraction_carbon_method,methods,"Code indicating the method for which fraction carbon was measured or modeled (Note: regression based models are permitted, but the use of the Bemmelen factor [0.58 gOC gOM-1] is discouraged).",factor,"Craft regression = Used regression model from Craft et al., 1991, Estuaries, to predict fraction carbon as a function of fraction organic matter. EA = Each sample presented was measured using Elemental Analysis. Fourqurean regression = Used regression model from Fourqurean et al., 2012, Nature Geoscience, to predict fraction carbon as a function of fraction organic matter. Holmquist regression = Used regression model from Holmquist et al., 2018, Scientific Reports, to predict fraction carbon as a function of fraction organic matter. kjeldahl digestion = Each sample was measured kjeldahl digestion method. local regression = A regression model fit using a subset of measurements was used to predict fraction carbon as a function of fraction organic matter. not specified = No additional details were provided regarding fraction carbon methodologies. wet oxidation = Each sample was measured using a wet oxidation method.",fraction_carbon,carbon_stock,,
fraction_carbon_type,methods,Code indicating whether fraction_carbon refers to organic or total carbon.,factor,organic carbon = Author specified that fraction carbon measurements were of organic carbon. total carbon = Author specified that fraction carbon measurements were of total carbon.,fraction_carbon,carbon_stock,,
carbon_profile_notes,methods,"Any other submitter defined notes describing methodologies for determining dry bulk density, organic matter fraction, and carbon fraction.",character,,,carbon_stock,,
cs137_counting_method,methods,Code indicating the method used for determining radiocesium activity.,factor,alpha = Alpha counting method used. gamma = Gamma counting method used.,cs137,age_depth,,
pb210_counting_method,methods,Code indicating the method used for determining lead 210 activity.,factor,alpha = Alpha counting method used. gamma = Gamma counting method used.,pb210,age_depth,,
excess_pb210_rate,methods,Code indicating the mass or accretion rate used in the excess_pb_210_model,factor,mass accumulation = Excess 210Pb modeled using mass accumulation rate. accretion = Excess 210Pb modeled using vertical accretion rate.,pb210,age_depth,,
excess_pb210_model,methods,Code indicating the model used to estimate excess lead 210.,factor,CRS = Constant rate of supply model used. CIC = Constant initial concentration model used. CFCS = Constant flux constant sedimentation model used.,pb210,age_depth,,
ra226_assumption,methods,Code indicating the assumption used to estimate the core’s background 226Ra levels.,factor,"each sample = 226Ra was measured for each sample. total core = 226Ra was measured for the total core, at asymptote = asy",pb210,age_depth,,
c14_counting_method,methods,Code indicating the method used for determining radiocarbon activity.,factor,AMS = Accelerator mass spectroscopy used. beta = Beta counting used.,c14,age_depth,,
dating_notes,methods,Any submitter defined notes elaborating on the process of dating the core not yet made clear by the coding.,character,,,age_depth,,
age_depth_model_reference,methods,Code indicating the reference or 0 year of the age depth model.,factor,"YBP = Year zero is defined as years before present, 1960 CE. CE = Year zero is set according to Common Era and Before Common Era standards. core collection date = Year zero is set as the core’s collection year.",age_depth_model,age_depth,,
age_depth_model_notes,methods,Any submitter defined notes on how the age depth model was created.,character,,age_depth_model,age_depth,,
study_id,sites,"Unique identifier for the study made up of the first author’s family name, as well as the second author’s family name or ‘et al.’ if more than three, then publication year separated by underscores.",character,,,,,
site_id,sites,Site identification code unique to each study.,character,,,,,
site_description,sites,Site description including relevant study details and political geographic units. Some of these descriptions can be automated by the ingestion code.,character,,,,,
site_latitude_max,sites,Maximum latitude defining a bounding box for the site in decimal degree World Geodedic System of 1984 (WGS84). This can also be generated automatically by the ingestion code.,numeric,degree,,position,,
site_latitude_min,sites,Minimum latitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,numeric,degree,,position,,
site_longitude_max,sites,Maximum longitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,numeric,degree,,position,,
site_longitude_min,sites,Minimum longitude defining a bounding box for the site in decimal degree WGS84. This can also be generated automatically by the ingestion code.,numeric,degree,,position,,
site_boundaries,sites,"As an alternative to submitting or automatically generating a bounding box, submitters can include a shapefile (.shp) or keyhole markup language (.kml) documenting the geographic boundaries of the site. This can be converted to and stored in well known text (WTK) format.",character,,,position,,
