study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,cs137_unit,total_pb210_activity,pb210_unit,pb214_activity,pb214_unit,bi214_activity,bi214_unit
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,0,2,0.19,0.13269999999999998,0.055,microbecquerelPerGram,0.322,becquerelPerGram,0.022,becquerelPerGram,0.021,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,2,4,0.22,0.16829999999999998,0.033,microbecquerelPerGram,0.293,becquerelPerGram,0.021,becquerelPerGram,0.017,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,4,6,0.23,0.1661,0.044,microbecquerelPerGram,0.229,becquerelPerGram,0.019,becquerelPerGram,0.019,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,6,8,0.22,0.16579999999999998,0.053,microbecquerelPerGram,0.176,becquerelPerGram,0.021,becquerelPerGram,0.02,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,8,10,0.22,0.1784,0.052,microbecquerelPerGram,0.163,becquerelPerGram,0.019,becquerelPerGram,0.019,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,10,12,0.22,0.1999,0.053,microbecquerelPerGram,0.135,becquerelPerGram,0.014,becquerelPerGram,0.017,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,12,14,0.23,0.1943,0.074,microbecquerelPerGram,0.117,becquerelPerGram,0.016,becquerelPerGram,0.015,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,14,16,0.21,0.2027,0.088,microbecquerelPerGram,0.086,becquerelPerGram,0.019,becquerelPerGram,0.017,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,16,18,0.19,0.18539999999999998,0.079,microbecquerelPerGram,0.073,becquerelPerGram,0.019,becquerelPerGram,0.017,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,18,20,0.17,0.1679,0.07,microbecquerelPerGram,0.054,becquerelPerGram,0.02,becquerelPerGram,0.02,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,20,22,0.19,0.12960000000000002,0.246,microbecquerelPerGram,0.084,becquerelPerGram,0.022,becquerelPerGram,0.022,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,22,24,0.24,0.1081,0.282,microbecquerelPerGram,0.09,becquerelPerGram,0.023,becquerelPerGram,0.02,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,24,26,0.21,0.1159,0.159,microbecquerelPerGram,0.079,becquerelPerGram,0.023,becquerelPerGram,0.02,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,26,28,0.16,0.13390000000000002,0.059,microbecquerelPerGram,0.071,becquerelPerGram,0.021,becquerelPerGram,0.02,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,28,30,0.14,0.1341,0.03,microbecquerelPerGram,0.07,becquerelPerGram,0.021,becquerelPerGram,0.019,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,30,32,0.18,0.1202,0.023,microbecquerelPerGram,0.071,becquerelPerGram,0.022,becquerelPerGram,0.021,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,32,34,0.21,0.10460000000000001,0.028,microbecquerelPerGram,0.064,becquerelPerGram,0.023,becquerelPerGram,0.022,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,34,36,0.28,0.1048,0.007,microbecquerelPerGram,0.062,becquerelPerGram,0.024,becquerelPerGram,0.022,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,36,38,0.27,0.1168,0.017,microbecquerelPerGram,0.058,becquerelPerGram,0.026,becquerelPerGram,0.025,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_1,single set of methods,38,40,0.34,0.1009,0.013,microbecquerelPerGram,0.043,becquerelPerGram,0.028,becquerelPerGram,0.024,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,0,2,0.16,0.1481,0.03,microbecquerelPerGram,0.331,becquerelPerGram,NA,NA,0.019,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,2,4,0.25,0.1282,0.026,microbecquerelPerGram,0.24,becquerelPerGram,0.018,becquerelPerGram,0.02,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,4,6,0.19,0.15689999999999998,0.029,microbecquerelPerGram,0.124,becquerelPerGram,0.017,becquerelPerGram,0.015,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,6,8,0.19,0.18280000000000002,0.036,microbecquerelPerGram,0.209,becquerelPerGram,0.015,becquerelPerGram,0.014,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,8,10,0.25,0.1275,0.048,microbecquerelPerGram,0.277,becquerelPerGram,0.019,becquerelPerGram,0.017,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,10,12,0.24,0.15410000000000001,0.046,microbecquerelPerGram,0.156,becquerelPerGram,0.018,becquerelPerGram,0.018,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,12,14,0.2,0.1609,0.057,microbecquerelPerGram,0.138,becquerelPerGram,0.016,becquerelPerGram,0.016,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,14,16,0.23,0.1324,0.07,microbecquerelPerGram,0.159,becquerelPerGram,0.019,becquerelPerGram,0.018,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,16,18,0.21,0.1492,0.084,microbecquerelPerGram,0.138,becquerelPerGram,0.016,becquerelPerGram,0.017,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,18,20,0.22,0.1392,0.188,microbecquerelPerGram,0.112,becquerelPerGram,0.018,becquerelPerGram,0.017,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,20,22,0.24,0.1193,0.374,microbecquerelPerGram,0.105,becquerelPerGram,0.02,becquerelPerGram,0.018,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,22,24,0.26,0.1056,0.235,microbecquerelPerGram,0.076,becquerelPerGram,0.022,becquerelPerGram,0.02,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,24,26,0.26,0.0946,0.093,microbecquerelPerGram,0.069,becquerelPerGram,0.023,becquerelPerGram,0.021,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,26,28,0.24,0.1114,0.037,microbecquerelPerGram,0.07,becquerelPerGram,0.022,becquerelPerGram,0.021,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,28,30,0.22,0.1204,0.03,microbecquerelPerGram,0.063,becquerelPerGram,0.02,becquerelPerGram,0.019,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,30,32,0.25,0.11960000000000001,0.023,microbecquerelPerGram,0.055,becquerelPerGram,0.021,becquerelPerGram,0.018,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,32,34,0.2,0.1585,0.008,microbecquerelPerGram,0.043,becquerelPerGram,0.018,becquerelPerGram,0.018,becquerelPerGram
Giblin_and_Forbrich_2018,Nelson_Island_Creek,Giblin2018Core_2,single set of methods,34,36,0.22,0.1241,0.007,microbecquerelPerGram,0.04,becquerelPerGram,0.019,becquerelPerGram,0.019,becquerelPerGram
