study_id,coring_method,roots_flag,compaction_flag,dry_bulk_density_temperature,dry_bulk_density_time,dry_bulk_density_flag,loss_on_ignition_temperature,loss_on_ignition_time,loss_on_ignition_flag,carbon_measured_or_modeled,carbonates_removed,carbonate_removal_method,fraction_carbon_flag,fraction_carbon_type
Breithaupt_et_al_2017,piston corer,NA,corer limits compaction,NA,NA,not specified,550,3,NA,NA,NA,NA,no details,NA
Cochran_et_al_1998,mccaffrey peat cutter,NA,NA,60,48,duplicate measurements,450,12,duplicate measurements,NA,NA,NA,NA,NA
CRMS_Database,push core,NA,compaction quantified,NA,NA,not specified,NA,NA,not specified,NA,NA,NA,NA,NA
Drake_et_al_2015,none specified,NA,NA,105,NA,not specified,NA,NA,NA,measured,NA,none specified,NA,organic carbon
Elsey_Quirk_et_al_2011,push core,NA,NA,60,12,time approximate,460,8,NA,measured,TRUE,acid fumigation,NA,organic carbon
Hill_and_Anisfeld_2015,push core,NA,NA,60,NA,not specified,550,NA,not specified,measured,TRUE,acid fumigation,NA,organic carbon
Kulawardhana_et_al_2015,other shallow corer,roots and rhizomes separated,no obvious compaction,105,48,NA,440,8,NA,NA,NA,NA,NA,NA
Merrill_1999,mcauley corer,NA,corer limits compaction,NA,NA,not specified,550,NA,NA,NA,NA,NA,NA,NA
Neubauer_2002,push core,NA,NA,50,NA,not specified,500,5,NA,NA,NA,NA,NA,NA
Noe_et_al_2013,push core,NA,NA,NA,NA,not specified,550,4,ground and sieved,measured,FALSE,NA,fumigated to remove microbeal biomass,total carbon
Nuttle_1996,none specified,NA,NA,NA,NA,not specified,NA,NA,not specified,NA,NA,NA,NA,NA
Nyman_et_al_1993,other shallow corer,NA,NA,80,NA,removed non structural water,400,16,NA,NA,NA,NA,NA,NA
Orson_1990,russian corer,NA,corer limits compaction,NA,NA,not specified,475,4,NA,NA,NA,NA,NA,NA
Pastore_et_al_2017,gouge auger,NA,NA,60,336,time approximate,NA,NA,NA,measured,FALSE,low carbonate soil,NA,total carbon
Piazza_et_al_2011,none specified,NA,NA,60,NA,not specified,550,2,NA,NA,NA,NA,no details,total carbon
Radabaugh_et_al_2018,russian corer,roots and rhizomes included,NA,105,24,NA,550,3,NA,modeled,NA,NA,extrapolated from subset of samples,NA
Windham_Meyers_et_al_2010,piston corer,NA,NA,105,12,time approximate,450,4,NA,NA,NA,NA,NA,NA
