study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,0,2,0.078,0.512,0.23399999999999999,1.220,0.224,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,2,4,0.203,0.319,0.14400000000000002,1.812,0.098,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,4,6,0.204,0.328,0.14800000000000002,2.177,0.095,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,6,8,0.184,0.329,0.149,2.289,0.110,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,8,10,0.168,0.359,0.163,2.672,0.122,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,10,12,0.151,0.399,0.182,2.381,0.152,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,12,14,0.146,0.407,0.185,2.476,0.184,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,14,16,0.139,0.42,0.191,2.596,0.153,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,16,18,0.14,0.404,0.184,2.313,0.135,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,18,20,0.128,0.378,0.172,2.744,0.157,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,20,22,0.131,0.401,0.182,2.781,0.211,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,22,24,0.147,0.391,0.17800000000000002,2.342,0.213,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,24,26,0.137,0.408,0.185,1.751,0.178,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,26,28,0.15,0.448,0.204,2.195,0.198,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,28,30,0.149,0.369,0.16699999999999998,2.066,0.135,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,30,32,0.131,0.382,0.17300000000000001,1.377,0.226,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,32,34,0.108,0.581,0.267,0.655,0.239,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,34,36,0.105,0.664,0.306,0.952,0.201,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,36,38,0.103,0.631,0.29100000000000004,0.096,0.235,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,38,40,0.117,0.533,0.244,1.205,0.210,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,40,42,0.117,0.509,0.233,1.427,0.221,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,42,44,0.108,0.545,0.25,2.318,0.234,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,44,46,0.112,0.546,0.251,4.190,0.246,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_1,single set of methods,46,48,0.13,0.539,0.247,12.693,0.261,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_2,single set of methods,0,2,0.081,0.69,0.318,0.143,0.245,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_2,single set of methods,2,4,0.144,0.5,0.22899999999999998,1.135,0.185,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_2,single set of methods,4,6,0.136,0.572,0.263,1.068,0.138,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_2,single set of methods,6,8,0.211,0.427,0.195,0.598,0.138,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_2,single set of methods,8,10,0.269,0.256,0.114,0.783,0.096,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_2,single set of methods,10,12,0.213,0.327,0.14800000000000002,0.678,0.096,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_2,single set of methods,12,14,0.13,0.532,0.244,0.748,0.175,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_2,single set of methods,14,16,0.108,0.604,0.278,1.119,0.163,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_2,single set of methods,16,18,0.109,0.61,0.28,1.559,0.183,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_2,single set of methods,18,20,0.136,0.493,0.225,1.741,0.175,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_2,single set of methods,20,22,0.16,0.45,0.205,2.795,0.184,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_2,single set of methods,22,24,0.197,0.396,0.18,3.423,0.106,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_2,single set of methods,24,26,0.253,0.348,0.157,3.385,0.140,disintegrationsPerMinutePerGram
Snedden_2021,Breton_Sound_Basin,Breton_2,single set of methods,26,28,0.287,0.361,0.163,4.029,0.091,disintegrationsPerMinutePerGram
